district,dong
강화군,강화읍
강화군,선원면
강화군,불은면
강화군,길상면
강화군,화도면
강화군,양도면
강화군,내가면
강화군,하점면
강화군,양사면
강화군,송해면
강화군,교동면
강화군,삼산면
강화군,서도면
옹진군,북도면
옹진군,연평면
옹진군,백령면
옹진군,대청면
옹진군,덕적면
옹진군,자월면
옹진군,영흥면
제물포구,신포동
제물포구,연안동
제물포구,신흥동
제물포구,도원동
제물포구,율목동
제물포구,동인천동
제물포구,개항동
제물포구,만석동
제물포구,화수1·화평동
제물포구,화수2동
제물포구,송현1·2동
제물포구,송현3동
제물포구,송림1동
제물포구,송림2동
제물포구,송림3·5동
제물포구,송림4동
제물포구,송림6동
제물포구,금창동
영종구,영종동
영종구,영종1동
영종구,영종2동
영종구,운서1동
영종구,운서2동
영종구,용유동
미추홀구,숭의1·3동
미추홀구,숭의2동
미추홀구,숭의4동
미추홀구,용현1·4동
미추홀구,용현2동
미추홀구,용현3동
미추홀구,용현5동
미추홀구,학익1동
미추홀구,학익2동
미추홀구,도화1동
미추홀구,도화2·3동
미추홀구,주안1동
미추홀구,주안2동
미추홀구,주안3동
미추홀구,주안4동
미추홀구,주안5동
미추홀구,주안6동
미추홀구,주안7동
미추홀구,주안8동
미추홀구,관교동
미추홀구,문학동
연수구,옥련1동
연수구,옥련2동
연수구,선학동
연수구,연수1동
연수구,연수2동
연수구,연수3동
연수구,청학동
연수구,동춘1동
연수구,동춘2동
연수구,동춘3동
연수구,송도1동
연수구,송도2동
연수구,송도3동
연수구,송도4동
연수구,송도5동
남동구,구월1동
남동구,구월2동
남동구,구월3동
남동구,구월4동
남동구,간석1동
남동구,간석2동
남동구,간석3동
남동구,간석4동
남동구,만수1동
남동구,만수2동
남동구,만수3동
남동구,만수4동
남동구,만수5동
남동구,만수6동
남동구,장수서창동
남동구,서창2동
남동구,남촌도림동
남동구,논현1동
남동구,논현2동
남동구,논현고잔동
부평구,부평1동
부평구,부평2동
부평구,부평3동
부평구,부평4동
부평구,부평5동
부평구,부평6동
부평구,산곡1동
부평구,산곡2동
부평구,산곡3동
부평구,산곡4동
부평구,청천1동
부평구,청천2동
부평구,갈산1동
부평구,갈산2동
부평구,삼산1동
부평구,삼산2동
부평구,부개1동
부평구,부개2동
부평구,부개3동
부평구,일신동
부평구,십정1동
부평구,십정2동
계양구,효성1동
계양구,효성2동
계양구,계산1동
계양구,계산2동
계양구,계산3동
계양구,계산4동
계양구,작전1동
계양구,작전2동
계양구,작전서운동
계양구,계양1동
계양구,계양2동
계양구,계양3동
서해구,검암경서동
서해구,연희동
서해구,청라1동
서해구,청라2동
서해구,청라3동
서해구,가정1동
서해구,가정2동
서해구,가정3동
서해구,신현원창동
서해구,석남1동
서해구,석남2동
서해구,석남3동
서해구,가좌1동
서해구,가좌2동
서해구,가좌3동
서해구,가좌4동
검단구,검단동
검단구,불로대곡동
검단구,원당동
검단구,당하동
검단구,오류왕길동
검단구,마전동
검단구,아라1동
검단구,아라2동
